"Ps","Scanpath","Scanpath_complex","age","gender","alarm","fire","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","numerical_format","correctness","Wave","Correct_answer","Given_answer","Correct_answer_belief","Bias_GC","Bias_belief","Numeracy_cat"
"b251bf10ccc50e7a","BABBDBBEDDDBBDBEDEFGFGGFEDEAAABDEBCHHHCGFGGFEBDEFGFEBEC","B:865,A:617,B:549,B:349,D:565,B:2766,B:49,E:480,D:399,D:585,D:864,B:314,B:2081,D:1150,B:549,E:722,D:794,E:748,F:1650,G:848,F:599,G:715,G:33,F:67,E:99,D:917,E:298,A:1267,A:3569,A:959,B:1067,D:717,E:1235,B:963,C:748,H:8696,H:1345,H:7148,C:84,G:316,F:483,G:1417,G:82,F:67,E:266,B:299,D:915,E:151,F:268,G:133,F:48,E:449,B:832,E:382,C:3699",29,"m",1,1,4.75,0.1,0,0,0,0.1,0,"frequency","correct","1",1e-04,1e-04,1e-04,0,0,"high"
"b28de89ee5eb82da","HCBHHHBEDDBABD","H:59716,C:253,B:1062,H:99,H:479,H:12146,B:282,E:881,D:311,D:981,B:1365,A:1363,B:916,D:9884",34,"f",5,2,3.63,0.2,0.1,0.1,0.5,0.9,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0271,-0.533412283673855,-0.800280718666695,"high"
"b2a7a53ec0b1d91c","DECH","D:1150,E:65,C:645,H:21552",38,"f",2,2,3.5,0,0,0,0,0.015,0,"frequency","incorrect","1",1e-04,0.9901,1e-04,3.99567906051162,0,"high"
"b384600e2072f25d","ABBCCGFEDBBEGHHHCFCCBDC","A:694,B:799,B:529,C:479,C:748,G:663,F:1030,E:180,D:781,B:82,B:196,E:1416,G:2196,H:8640,H:413,H:3645,C:399,F:1080,C:347,C:897,B:532,D:1113,C:1966",25,"m",3,2,4.13,0.01,0.1,1,0.5,0.75,0.27,"probability","incorrect","2",0.1711,0.0501,0.0131,-0.533412283673855,-1.11597871388534,"high"
"b4192d9d81fdac5a","EGEGHABDEFGFBABEFEDDEFEDEEFHHCDCBBAABBCBBC","E:9,G:3032,E:10131,G:1102,H:15309,A:1098,B:2784,D:672,E:47,F:524,G:5392,F:1176,B:175,A:250,B:599,E:451,F:502,E:48,D:474,D:927,E:877,F:1151,E:50,D:675,E:387,E:1091,F:3637,H:3232,H:2132,C:2507,D:14701,C:425,B:475,B:2632,A:325,A:1053,B:374,B:851,C:776,B:399,B:1328,C:3638",35,"m",3,3,3.75,0.3,0,0.06,0,0.12,0,"frequency","incorrect","1",0.1761,0.0601,0.1761,-0.466884883964537,0,"high"
"b4612f2e7868c996","AABCDEFGCHAEGHGFEDEF","A:81,A:883,B:766,C:1717,D:614,E:558,F:882,G:599,C:682,H:24784,A:82,E:782,G:883,H:4788,G:66,F:2134,E:199,D:834,E:182,F:20457",21,"f",3,2,4.13,0.1,0.1,0.1,0.5,0.2,0.27,"frequency","correct","2",0.1711,0.1711,0.0531,0,-0.508155488459631,"high"
"b615197d343b03cf","ABDABCEDEFGGFHEBA","A:198,B:247,D:2825,A:921,B:1025,C:1248,E:74,D:3049,E:824,F:2124,G:2447,G:978,F:3625,H:15281,E:299,B:873,A:4579",33,"m",2,4,4.5,0.27,0.1,0.1,0.5,0.29,0.27,"frequency","incorrect","2",0.1711,0.1001,0.1131,-0.232815932061782,-0.179787404615645,"high"
"b6942984295040af","AABDEBDECFGCBHABDBDBHFCFFCDBBDBBDBBDAHCC","A:270,A:592,B:796,D:1033,E:1677,B:609,D:1339,E:1067,C:509,F:457,G:746,C:2373,B:5627,H:5998,A:152,B:643,D:1017,B:593,D:762,B:490,H:4948,F:1255,C:914,F:338,F:1983,C:3630,D:18,B:7999,B:677,D:729,B:7847,B:4356,D:5254,B:28068,B:440,D:372,A:1728,H:9902,C:508,C:440",23,"m",4,1,4.63,0.05,0,0.74,0,0.9,0,"probability","correct","1",0.0411,0.0411,0.0411,0,0,"high"
"b711ce9db83b801c","BDDEDBAABAHEDDBCCBDCCCCCFHH","B:2994,D:794,D:536,E:191,D:1015,B:132,A:3140,A:208,B:567,A:1799,H:6515,E:100,D:678,D:582,B:654,C:1197,C:233,B:2617,D:1316,C:298,C:467,C:867,C:215,C:217,F:1167,H:4099,H:11757",30,"m",3,2,3.75,0.02,0.1,0.01,0.5,0.05,0.27,"frequency","incorrect","2",0.1711,0.5001,0.0041,0.465806845006567,-1.62046615282136,"high"
"b7823c42f9a3a91a","ABDEDEFFCFBCCFGGFGHGFCBDE","A:1115,B:1165,D:1215,E:2297,D:566,E:64,F:747,F:865,C:797,F:1714,B:648,C:482,C:282,F:1031,G:592,G:2166,F:1831,G:1197,H:11409,G:479,F:2847,C:884,B:979,D:818,E:4910",40,"f",2,2,2.5,0.1,0.1,0.95,0.5,0.05,0.27,"probability","incorrect","2",0.1711,0.5001,0.6791,0.465806845006567,0.598683720925645,"low"
"b7c00503b80864b6","DEBACFGHH","D:1140,E:768,B:1147,A:1227,C:1054,F:793,G:1787,H:3382,H:15713",23,"f",3,3,3.5,0.01,0.1,0.05,0.5,0.001,0.27,"frequency","incorrect","2",0.1711,0.0501,0.3361,-0.533412283673855,0.293218502928377,"high"
"b9984f337451a12e","BBCCCACDDEFGFGGFGFGFGH","B:64,B:1147,C:742,C:39,C:1798,A:1147,C:1682,D:548,D:1649,E:964,F:1399,G:1732,F:965,G:1065,G:199,F:3632,G:2733,F:1733,G:3933,F:1532,G:7982,H:12898",42,"f",3,2,3.75,0,0,0.95,0,0.333,0,"frequency","correct","1",1e-04,1e-04,1e-04,0,0,"high"
"b9abb57fc828930d","ABCBDEFGFGFHFEDEC","A:3648,B:1282,C:1615,B:616,D:1234,E:720,F:1858,G:1949,F:1999,G:516,F:1967,H:15746,F:116,E:233,D:965,E:47,C:5517",32,"f",2,2,4.13,0.25,0.1,0.23,0.5,0.8,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0871,-0.533412283673855,-0.293231854533437,"high"
"ba17d310b7fb98ba","BCAABCBDEFGHCBDDBBABAHCFEDBD","B:176,C:796,A:1145,A:98,B:932,C:1201,B:415,D:628,E:846,F:595,G:2583,H:8083,C:145,B:1906,D:1354,D:664,B:51,B:915,A:4073,B:934,A:599,H:6615,C:64,F:32,E:133,D:1470,B:565,D:5465",24,"m",2,3,4.38,0.3,0.1,0.8,0.5,0.2,0.27,"frequency","incorrect","2",0.1711,0.5001,0.6321,0.465806845006567,0.567535780786662,"high"
"bb9a98990004465c","ABDDEFGCAABCDEEFGFHHCABCHEFG","A:229,B:399,D:330,D:98,E:515,F:447,G:664,C:664,A:519,A:1027,B:615,C:714,D:414,E:416,E:463,F:450,G:513,F:1447,H:8820,H:697,C:3948,A:280,B:466,C:65,H:6958,E:197,F:32,G:367",28,"m",3,1,3.5,0.001,0.1,0.001,0.5,0.01,0.27,"frequency","incorrect","2",0.1711,0.0101,1e-04,-1.22892863575846,-3.2332500095411,"high"
"bc0ef108285e31ab","ABCCHABBCA","A:946,B:715,C:648,C:1380,H:10813,A:216,B:481,B:3982,C:6215,A:3968",55,"f",2,1,3.75,0.05,0,0.15,0,0.01,0,"frequency","incorrect","1",0.4411,0.0501,0.4411,-0.944699331911162,0,"high"
"be73ff33db9edbc4","ABEEDEFEDBCBCAAFEFGCACBAAHABDBAHABBDBAABDBAHCCBDBAH","A:1422,B:1517,E:4264,E:84,D:918,E:1633,F:8080,E:116,D:1499,B:1216,C:2363,B:814,C:849,A:1453,A:110,F:18,E:616,F:1289,G:2210,C:4098,A:3316,C:832,B:948,A:1299,A:14014,H:13544,A:182,B:1832,D:898,B:264,A:1383,H:7965,A:464,B:748,B:65,D:933,B:798,A:116,A:867,B:598,D:1282,B:1882,A:1817,H:10749,C:331,C:335,B:130,D:534,B:81,A:7150,H:26232",40,"m",4,3,3.75,0.1,0,0.15,0,0.25,0,"frequency","incorrect","1",0.0631,0.1501,0.0621,0.376351332999136,-0.00693775906755412,"high"
